Group,pre_wrong,pre_correct,pre_uncertain,post_wrong,post_correct,post_uncertain
A,2,2,6,3,2,5
A,8,0,2,8,1,1
A,0,0,10,4,4,2
A,6,3,1,7,2,1
A,0,1,9,0,1,9
A,2,2,6,0,0,0
A,4,3,3,7,3,0
A,4,5,1,4,6,0
A,7,3,0,0,0,0
A,6,3,1,6,2,2
A,4,1,5,0,0,0
A,2,6,2,5,2,3
A,5,5,0,5,5,0
A,2,1,7,2,2,6
A,6,3,1,4,4,2
A,1,2,7,0,0,0
A,4,2,4,2,3,5
A,8,2,0,7,3,0
A,5,5,0,4,6,0
A,1,1,8,0,1,9
A,3,7,0,6,4,0
A,3,7,0,4,5,1
A,0,5,5,1,6,3
A,5,2,3,7,1,2
A,4,3,3,1,6,3
A,6,4,0,5,5,0
A,7,3,0,7,3,0
A,2,3,5,0,4,6
A,1,7,2,1,8,1
A,6,2,2,8,1,1
A,7,2,1,6,3,1
A,7,3,0,6,4,0
A,7,2,1,7,2,1
A,4,3,3,4,4,2
A,4,1,5,2,1,7
A,9,1,0,7,3,0
A,0,0,10,0,0,10
A,6,4,0,7,3,0
A,4,4,2,4,5,1
A,1,2,7,2,1,7
A,9,1,0,6,4,0
A,0,0,10,0,0,10
A,6,3,1,6,3,1
A,4,5,1,3,6,1
A,4,5,1,3,6,1
A,8,1,1,8,2,0
B,6,4,0,2,8,0
B,7,3,0,5,5,0
B,2,7,1,0,9,1
B,3,2,5,1,9,0
B,0,0,10,2,8,0
B,6,2,2,4,6,0
B,7,1,2,0,0,0
B,4,2,4,4,2,4
B,7,3,0,0,0,0
B,4,2,4,5,5,0
B,6,4,0,5,5,0
B,5,5,0,1,8,0
B,1,5,4,1,9,0
B,2,6,2,3,7,0
B,2,0,8,2,4,4
B,2,1,7,2,8,0
B,3,2,5,2,6,2
B,7,3,0,3,6,1
B,7,3,0,7,3,0
B,6,1,3,4,6,0
B,4,5,1,4,6,0
B,4,2,4,6,4,0
B,3,1,6,2,8,0
B,0,0,10,7,3,0
B,2,4,4,3,6,1
B,1,3,6,2,8,0
B,0,0,10,3,7,0
B,0,2,8,3,6,1
B,6,3,1,1,9,0
B,2,4,4,4,6,0
B,1,1,8,0,9,1
B,5,5,0,1,9,0
B,4,4,2,5,5,0
B,6,3,1,5,5,0
B,8,1,1,5,5,0
B,3,6,1,3,7,0
B,6,4,0,5,5,0
B,0,0,10,5,5,0
B,1,4,5,0,10,0
B,4,1,5,5,2,3
B,1,0,9,4,6,0
B,1,0,9,2,8,0
B,0,0,10,0,8,2
B,3,2,5,0,10,0
B,3,2,5,1,7,2
B,1,2,7,3,7,0
B,6,4,0,3,7,0